bidder_id,name,pan,gstin,udyam_number,cin,dpiit_recognition_number,nsic_registration_number,epfo_establishment_code,employee_count,enterprise_category,declared_local_content_pct,state,target_tender_id,scenario_tag,expected_ground_truth
B001,Nova Electro Systems Pvt Ltd,AABCN1234A,27AABCN1234A1Z5,UDYAM-MH-03-0012345,U72900MH2015PTC260001,,,MH/BAN/1234567/000,45,Small,55,Maharashtra,T2026-0001,clean_compliant,All checks pass and documents match portal data; expect Low risk and qualify
B002,Bharat Steel Works,BBCPS5678K,29BBCPS5678K1Z2,UDYAM-KA-02-0023456,U27100KA2012PTC260002,,,KA/BLR/2345678/000,60,Small,52,Karnataka,T2026-0003,gst_cancelled,GSTIN status is Cancelled; mandatory failure; expect High risk / Non-Compliant regardless of other fields
B003,Suresh Enterprises,ABCDE1234B,07ABCDE1234B1Z9,UDYAM-DL-01-0034567,,,,DL/NDL/3456789/000,15,Micro,,Delhi,T2026-0002,pan_invalid,PAN adapter returns Invalid (Setu sandbox invalid test value reused deliberately); mandatory failure
B004,Global Tech Solutions LLP,CGTSL2345M,24CGTSL2345M1Z6,UDYAM-GJ-04-0045678,,,,GJ/AHM/4567890/000,180,Small,48,Gujarat,T2026-0001,udyam_category_mismatch,Bidder self-declares Small but Udyam portal returns Medium; conditional flag affecting MSME-reserved eligibility
B005,Kiran Furnishers,DKFPL3456N,08DKFPL3456N1Z3,UDYAM-RJ-05-0056789,U36100RJ2010PTC260005,,,RJ/JAI/5678901/000,35,Small,58,Rajasthan,T2026-0003,blacklisted,Present on the internal debarred-entities registry; mandatory failure overriding all other scores
B006,SolarTech Renewables Pvt Ltd,ESTRP4567O,08ESTRP4567O1Z0,UDYAM-RJ-06-0067890,U40106RJ2016PTC260006,,,RJ/JOD/6789012/000,50,Small,40,Rajasthan,T2026-0005,local_content_below_threshold,Declares 40% local content against a 60% MII threshold for this tender; graded criterion failure
B007,Metro Manpower Services,FMMSP5678P,27FMMSP5678P1Z7,,,,,MH/PUN/7890123/000,25,Small,,Maharashtra,T2026-0004,epfo_mismatch,EPFO establishment record shows 8 registered employees vs. the bidder's declared 25; discrepancy flag for manual review
B008,Aadhya Startups India Pvt Ltd,GASIP6789Q,29GASIP6789Q1Z4,UDYAM-KA-07-0078901,U72900KA2018PTC260008,DIPP123456,,KA/MYS/8901234/000,12,Small,,Karnataka,T2026-0004,startup_recognition_expired,DPIIT recognition certificate uploaded but validity expired 14 months ago; flag
B009,Om Security Services,HOSSP7890R,33HOSSP7890R1Z1,,,,,TN/CHE/9012345/000,90,Small,,Tamil Nadu,T2026-0006,document_portal_name_mismatch,Uploaded GST certificate trade name differs from the live GSTN record; cross-verification name-match flag, possible outdated or altered document
B010,Precision Auto Components Ltd,IPACL8901S,29IPACL8901S1Z8,,U29100KA2005PLC260010,,,KA/BLR/0123987/000,320,Large,55,Karnataka,T2026-0003,not_msme_ineligible_for_reservation,All statutory checks pass, but enterprise category is Large and tender is MSME-reserved; business-rule ineligibility, not a statutory failure
B011,Digital Bharat Infotech Pvt Ltd,JDBIP9012T,07JDBIP9012T1Z5,UDYAM-DL-08-0089012,U72200DL2011PTC260011,,,DL/SDL/0123456/000,140,Medium,,Delhi,T2026-0004,clean_compliant_non_msme,All checks pass; non-MSME tender so Udyam category is informational only; expect Low risk and qualify
B012,Sunrise OEM Traders,KSOTP0123U,27KSOTP0123U1Z2,UDYAM-MH-09-0090123,,,NSIC-2019-004521,MH/THN/1234098/000,28,Small,,Maharashtra,T2026-0001,missing_oem_authorization,No OEM authorization letter in the bid package for a tender that mandates one; document-completeness failure

# Note: all names, PANs, GSTINs, CINs, Udyam and establishment numbers above are synthetic and generated for
# development/testing only, per the problem statement's "dummy bidder and tender datasets may be used" guidance.
# They are not drawn from, and do not correspond to, any real registered entity.
